全市路口节点标号	路口的横坐标X	路口的纵坐标Y	路口所属区域	发案率(次数)							
225	267	446	C	1.1							
226	270	440	C	0.9							
227	275	422	C	1.1							
228	276	419	C	1.2							
229	270	415	C	0.8							
230	276	405	C	1.4							
231	288	403	C	1.4							
232	293.5	392.5	C	1.4							
233	296	387	C	1.1							
234	303	386	C	1.4							
235	298.5	378	C	1.6							
236	293	376	C	1.2							
237	296	372	C	1.7							
238	276	352	C	1							
239	250	350	C	1.4							
240	247	384	C	1.2							
241	262	399	C	1.4							
242	269	397	C	1.2							
243	276	402	C	1.3							
244	282	398.5	C	1.2							
245	282	386.5	C	1.1							
246	273	389	C	1.2							
247	276	361	C	1.1							
248	138.5	378	C	0.8							
249	155	396	C	1.2							
250	163	390	C	1.5							
251	173	364	C	1.2							
252	183	370	C	1.2							
253	238	382	C	0.7							
254	213	412	C	0.8							
255	189	413	C	1.1							
256	210	433	C	0.9							
257	201	434	C	0.9							
258	150	400	C	1.2							
259	135	395	C	1.2							
260	143	407	C	1.1							
261	142	414	C	0.8							
262	140	430	C	1.1							
263	121	432	C	0.9							
264	109	441	C	0.5							
265	138.5	442	C	1.2							
266	167	442	C	1.6							
267	168	435	C	1.4							
268	184	440	C	1.2							
269	194	442	C	0.9							
270	200	442	C	1.4							
271	212	443	C	1.6							
272	220	443	C	1.7							
273	246	444	C	2.1							
274	246	455	C	1.4							
275	252	458	C	1.2							
276	257	460.5	C	1.5							
277	255.5	466	C	1.2							
278	249	464	C	1.1							
279	247	469	C	0.8							
280	254	472	C	0.7							
281	251.5	477	C	1.1							
282	259	478	C	0.8							
283	261	470	C	0.4							
284	255	494	C	1.4							
285	240	495	C	1.4							
286	241	514	C	0.8							
287	236	514	C	0.7							
288	235	496	C	0.7							
289	232	487	C	0.8							
290	235.5	486.5	C	0.8							
291	245	474	C	1.2							
292	225	457.5	C	1.4							
293	225	451	C	1.6							
294	219	451	C	1.4							
295	219	462	C	1.2							
296	228.5	472	C	1.6							
297	213	481	C	1.4							
298	211	487	C	1							
299	208.5	496	C	1.2							
300	206	507	C	0.8							
301	206	515	C	1.2							
302	200	514	C	0.7							
303	200	507	C	1.2							
304	200	497	C	1.3							
305	200	484	C	1.4							
306	206	466	C	1.4							
307	194	466	C	1.4							
308	184	463.5	C	1.5							
309	184	475	C	0.8							
310	193.5	475	C	0.7							
311	193	484	C	0.9							
312	184	484	C	0.6							
313	184	496.5	C	0.8							
314	192.5	496.5	C	0.7							
315	192	507	C	0.9							
316	192	514	C	0.8							
317	170	516.5	C	0.6							
318	168	507	C	1.1							
319	167	495.5	C	1.4							
320	101	343	D	2.4							
321	91	355	D	1.7							
322	70	377	D	2.5							
323	46	371	D	2.4							
324	56	424	D	2.1							
325	20	442	D	2.2							
326	74	326	D	2.6							
327	76	302	D	2.1							
328	15	240	D	2.6							
329	28	161	D	0.4							
330	34.5	164.5	D	0.1							
331	30	181	D	0.6							
332	27	206	D	0.2							
333	42	242	D	1.4							
334	30	246	D	1.6							
335	31	254	D	1.1							
336	39	254	D	1.2							
337	50	289	D	0.7							
338	72	288	D	1.1							
339	60	246	D	0.7							
340	95	299	D	1.4							
341	81	297	D	1.6							
342	80	287	D	1.4							
343	67	314	D	1.7							
344	21	330	D	1.1							
345	36	360	D	1.2							
346	76	344	D	0.8							
347	97	339	D	2.4							
348	103	337	D	1.2							
349	104	341	D	1.1							
350	97	345	D	1.6							
351	89	345	D	0.8							
352	81	344.5	D	0.8							
353	81	350	D	0.4							
354	89	350	D	0.7							
355	92.5	351.5	D	1.1							
356	88	353	D	1.4							
357	81.5	353	D	0.9							
358	87	359	D	1.1							
359	84	361	D	0.9							
360	76	355	D	0.8							
361	58.5	370	D	0.6							
362	34	306	D	0.1							
363	38	418.5	D	1.4							
364	61	425	D	1.4							
365	57	429	D	1.6							
366	60	433	D	1.4							
367	85	369	D	1.9							
368	107.5	362	D	1.4							
369	131	366.5	D	1.2							
370	170	342	D	1.2							
371	174	340	D	1.5							
372	232.5	264	E	2.4							
373	202	223	E	1.9							
374	241	210	E	2.4							
375	235	197.5	E	2.6							
376	228	173	E	2.6							
377	214	164	E	2.6							
378	278	196	E	2.6							
379	267	168	E	2.4							
380	90	167	E	1							
381	123	177.5	E	1.1							
382	143	153	E	1.9							
383	192	264	E	2.6							
384	145	285	E	2.4							
385	133	255	E	2.4							
386	90	198	E	1.7							
387	21	15	E	1.1							
388	60	68	E	0.8							
389	70	84	E	0.2							
390	27	149	E	1.6							
391	62	143	E	0.9							
392	58	176	E	1.4							
393	58	160	E	0.6							
394	72	163	E	0.7							
395	70	176.5	E	0.7							
396	90	178	E	0.8							
397	115	168	E	0.6							
398	115	177.5	E	0.8							
399	123	168	E	0.7							
400	123	164	E	0.6							
401	123	155	E	0.7							
402	143	164	E	0.9							
403	144	168	E	1.2							
404	149	177	E	0.9							
405	128	178	E	0.9							
406	128	188	E	1.5							
407	164	194	E	1.7							
408	156	177	E	0.8							
409	168	177	E	1.1							
410	156	169	E	0.8							
411	167	168	E	0.8							
412	172	167	E	0.9							
413	167	164	E	0.2							
414	160	164	E	0.7							
415	163	153.5	E	1.2							
416	186	168	E	1.6							
417	269	133	E	1.6							
418	295	112	E	1.1							
419	302	112	E	1.4							
420	316	141	E	1.6							
421	278	143	E	1.7							
422	284	173	E	1.4							
423	257.5	170	E	1.9							
424	239	198	E	0.4							
425	241	198	E	0.3							
426	246	199	E	0.6							
427	246.5	202	E	0.4							
428	240	202	E	0.4							
429	236	201	E	1.1							
430	231	199	E	0.1							
431	232	206.5	E	0.6							
432	239.5	207.5	E	0.5							
433	242	206	E	0.2							
434	235	209.5	E	0.4							
435	237.5	212	E	0.1							
436	246	208	E	0.4							
437	200	194	E	1.1							
438	170	222	E	1.6							
439	59	189	E	0.8							
440	72	189	E	0.9							
441	90	187.5	E	0.6							
442	74	198	E	0.7							
443	60	196	E	0.4							
444	90	211	E	1.6							
445	151	236	E	1.4							
446	160	244	E	1.5							
447	90	222	E	0.8							
448	129	248	E	1.7							
449	142	265	E	2.1							
450	152	255.5	E	1.1							
451	155	258	E	0.6							
452	163	258	E	0.8							
453	171	258	E	1.1							
454	171	252.5	E	0.4							
455	171	247	E	1.2							
456	214	235	E	1.1							
457	244	238	E	1.1							
458	268	237	E	1.1							
459	259	255	E	1.1							
460	188	261	E	1.4							
461	184	253	E	1.2							
462	171	263	E	1.1							
463	171	268	E	0.8							
464	163	268	E	0.9							
465	154	268.5	E	0.7							
466	151	275	E	0.4							
467	148	274	E	1.5							
468	162	277.5	E	1.5							
469	177	281	E	0.7							
470	187	284	E	1.4							
471	155	316	E	1.6							
472	159	292	E	1.8							
473	125	267	E	1.8							
474	107	285	E	1.6							
475	382.5	267	F	2.4							
476	373	250	F	1.9							
477	330	219	F	0.8							
478	400	247	F	2.3							
479	441	442	F	1.7							
480	417	312	F	1.5							
481	332	246	F	1.9							
482	321	275	F	1.7							
483	403	140	F	2.1							
484	420	269	F	2.4							
485	455	335	F	1.9							
486	295.5	238	F	1.4							
487	294	244	F	1.1							
488	316	300	F	1.5							
489	308	257.5	F	1.2							
490	327	255	F	0.8							
491	316	236	F	1.4							
492	314	230	F	0.9							
493	313	223	F	0.6							
494	317	215	F	0.2							
495	318.5	222	F	0.3							
496	320	229	F	0.5							
497	326.5	227.5	F	0.7							
498	325	220	F	0.6							
499	323	213	F	0.4							
500	329	212	F	0.7							
501	332	226	F	0.7							
502	334	210.5	F	0.6							
503	346	209	F	0.7							
504	342	200	F	0.8							
505	356	202	F	0.7							
506	358	195	F	0.6							
507	345	194	F	0.4							
508	348	188	F	0.4							
509	357.5	188	F	0.6							
510	359	159	F	1.1							
511	404	161	F	1.2							
512	403	202	F	0.8							
513	379	202	F	0.7							
514	386	213	F	0.8							
515	373	213	F	0.6							
516	363	212	F	0.4							
517	362	218	F	0.8							
518	354	216.5	F	0.6							
519	348	215	F	0.9							
520	349	222	F	0.7							
521	353	223	F	0.8							
522	371	224	F	0.8							
523	371	218.5	F	0.6							
524	375	219	F	0.4							
525	388.5	218	F	1.1							
526	405	213.5	F	0.8							
527	389	224.5	F	0.9							
528	388	233	F	0.6							
529	353	229.5	F	0.8							
530	334	232	F	0.7							
531	336	239	F	1.1							
532	352	247	F	1.2							
533	353	236	F	0.6							
534	362.5	236	F	0.8							
535	370	236	F	1.1							
536	388	237	F	1.2							
537	395.5	237.5	F	1.4							
538	395	233	F	1.1							
539	408.5	227	F	1.5							
540	430	237	F	1.4							
541	450	268	F	0.1							
542	394	254	F	1.4							
543	387	250	F	0.9							
544	383	250	F	1.1							
545	369	249.5	F	0.8							
546	367.5	249	F	0.7							
547	362	249	F	0.8							
548	350	251	F	0.6							
549	348	255	F	1.4							
550	355	265	F	1.1							
551	367	265	F	0.8							
552	367	257.5	F	1.2							
553	375	258	F	1.4							
554	376	260	F	1.1							
555	381	260	F	1.7							
556	378	266	F	1.4							
557	380	270.5	F	1.2							
558	371	284	F	1.1							
559	356.5	281	F	1.4							
560	338	297	F	1.2							
561	372	307	F	1.4							
562	398	308	F	1.5							
563	392	277	F	1.1							
564	382.5	276	F	0.9							
565	396	270	F	1.4							
566	411	291	F	1.2							
567	424	297	F	0.8							
568	435	319	F	0.9							
569	434	307	F	0.7							
570	430	295	F	1.4							
571	441	309	F	1.2							
572	470	342	F	0.2							
573	468	432	F	1.2							
574	455	361	F	0.6							
575	453	400	F	0.6							
576	425	433	F	0.8							
577	462	437	F	1.4							
578	481	457	F	0.6							
579	462	447	F	1.2							
580	440	449	F	1.4							
581	423	448	F	1							
582	435	507.5	F	0.4							
